,ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2165,2670729-20220516,2838350,371626,2,LULA MAE HAMMOND,LULA MAE HAMMOND,3514 W CERMAK RD BSMT BSMT,CHICAGO,IL,60623,24.0,9.0,24-9,10.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2670729,RENEW,,03/15/2022,06/06/2022,N,05/16/2022,05/15/2024,,06/06/2022,AAI,,,41.851795774,-87.713030418,"(41.85179577388842, -87.71303041813857)"
2183,2813074-20231016,2928554,479562,1,"BEAUTY HOUSE WILSON, INC.",BEAUTY HOUSE,1041 W WILSON AVE,CHICAGO,IL,60640,46.0,,46-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2813074,RENEW,,08/15/2023,08/16/2023,N,10/16/2023,10/15/2025,08/16/2023,08/17/2023,AAI,,34.0,41.965302748,-87.656445738,"(41.96530274794631, -87.65644573779998)"
2194,2851089-20220606,2851089,353239,2,WILLIE M. ESTESE,WILLIE M. ESTESE,5018 W WABANSIA AVE,CHICAGO,IL,60639,37.0,10.0,37-10,25.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2851089,ISSUE,06/06/2022,06/06/2022,06/06/2022,N,06/06/2022,05/15/2024,,06/06/2022,AAI,,,41.911493712,-87.751922126,"(41.91149371153657, -87.75192212648574)"
2196,2851027-20220606,2851027,486451,1,LAWANNA NOVELLA JOHNSON,LAWANNA NOVELLA JOHNSON,4807 S VINCENNES AVE,CHICAGO,IL,60615,3.0,30.0,3-30,2.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2851027,ISSUE,06/03/2022,06/06/2022,06/06/2022,N,06/06/2022,06/15/2024,,06/06/2022,AAI,,,41.807383234,-87.613711637,"(41.807383233824055, -87.6137116367707)"
2234,2753786-20221016,2867055,470477,1,AROO 76 INC.,STAR BEAUTY SUPPLY 9,7546 S STONY ISLAND AVE,CHICAGO,IL,60649,8.0,,8-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2753786,RENEW,,08/15/2022,08/16/2022,N,10/16/2022,10/15/2024,08/16/2022,08/17/2022,AAI,,42.0,41.757337721,-87.586248548,"(41.757337720984204, -87.58624854827025)"
2245,2850366-20221016,2867056,470477,2,AROO 76 INC.,STAR BEAUTY SUPPLY 1,1250 S ASHLAND AVE  6,CHICAGO,IL,60608,28.0,,28-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2850366,RENEW,,08/15/2022,08/16/2022,N,10/16/2022,10/15/2024,08/16/2022,08/17/2022,AAI,,,41.865374978,-87.666496464,"(41.86537497842472, -87.66649646446557)"
2257,2863363-20220817,2863363,64603,8,LEOPARDO COMPANIES INC.,LEOPARDO COMPANIES INC,120 S RIVERSIDE PLZ 21 2150,CHICAGO,IL,60606,42.0,,42-,,1010,Limited Business License,602,Administrative Commercial Office,2863363,C_LOC,08/08/2022,08/08/2022,08/09/2022,N,08/17/2022,09/15/2024,08/09/2022,08/17/2022,AAI,,,41.879923306,-87.638802539,"(41.8799233059124, -87.63880253891776)"
2258,2862585-20220817,2862585,487848,1,FIRST CHOICE GROCERY WHOLESALE INC,FIRST CHOICE GROCERY WHOLESALE,7122 S VINCENNES AVE  G,CHICAGO,IL,60621,6.0,,6-,,1006,Retail Food Establishment,767 | 775 | 904,Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Retail Sales of General Merchandise,2862585,ISSUE,07/22/2022,07/22/2022,08/08/2022,N,08/17/2022,09/15/2024,08/16/2022,08/17/2022,AAI,,,41.764735863,-87.628416643,"(41.764735862679856, -87.62841664308885)"
2285,2850237-20220607,2850237,485948,1,STM 5 CORP.,SHELL,45 N WESTERN AVE,CHICAGO,IL,60612,27.0,,27-,,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2850237,ISSUE,05/18/2022,05/18/2022,05/18/2022,N,06/07/2022,06/15/2024,06/06/2022,06/07/2022,AAI,,,41.882511624,-87.686324433,"(41.88251162432548, -87.68632443322204)"
2288,2850367-20220607,2850367,486040,1,"REANDA ART CONSERVATION, LLC","REANDA ART CONSERVATION, LLC",1802 W BERTEAU AVE 2 211,CHICAGO,IL,60613,47.0,,47-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2850367,ISSUE,05/23/2022,05/23/2022,06/06/2022,N,06/07/2022,06/15/2024,06/06/2022,06/07/2022,AAI,,31.0,41.957978259,-87.674449054,"(41.957978259363514, -87.67444905390276)"
2294,2840417-20220607,2840417,484268,1,"THE CHEF AND THE BAKER, LLC",THE CHEF AND THE BAKER,1717 S PRAIRIE AVE,CHICAGO,IL,60616,3.0,19.0,3-19,1.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2840417,ISSUE,03/25/2022,03/25/2022,03/25/2022,N,06/07/2022,06/15/2024,,06/07/2022,AAI,,,41.858657317,-87.620637507,"(41.85865731695245, -87.62063750651437)"
2314,2802763-20230816,2917070,477096,1,DUB J'S INC.,DUB J'S,459 N HAMLIN AVE,CHICAGO,IL,60624,27.0,,27-,,1006,Retail Food Establishment,767 | 775,Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods,2802763,RENEW,,06/15/2023,08/15/2023,N,08/16/2023,08/15/2025,08/15/2023,08/17/2023,AAI,,,41.889614244,-87.720878916,"(41.88961424444416, -87.720878915531)"
2320,2863610-20220817,2863610,327067,2,"PROSPECT PARTNERS, L.L.C.",PROSPECT PARTNERS LLC,227 W MONROE ST  3550,CHICAGO,IL,60606,42.0,,42-,,1010,Limited Business License,897,Financial Services Commercial Office,2863610,C_LOC,08/15/2022,08/15/2022,08/15/2022,N,08/17/2022,09/15/2024,08/15/2022,08/17/2022,AAI,,,41.88053925,-87.634592464,"(41.88053924995021, -87.63459246351388)"
2321,2867467-20220817,2867467,488838,1,ANA KAREN HERNANDEZ,ANA K. HERNANDEZ,3507 S WASHTENAW AVE,CHICAGO,IL,60632,12.0,6.0,12-6,9.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2867467,ISSUE,08/17/2022,08/17/2022,08/17/2022,N,08/17/2022,09/15/2024,,08/17/2022,AAI,,,41.829891218,-87.692223399,"(41.829891218137924, -87.6922233986583)"
2344,2749023-20220916,2862025,469467,1,CNU SERVICES LLC,CNU SERVICES LLC,3752 W 85TH PL,CHICAGO,IL,60652,18.0,,18-,,4404,Regulated Business License,674 | 724,Home Repair Services (Home Based Business) | Other Home Based Businesses,2749023,RENEW,,07/15/2022,08/16/2022,N,09/16/2022,09/15/2024,08/16/2022,08/17/2022,AAI,,,41.737797762,-87.716318203,"(41.73779776151138, -87.71631820329732)"
2350,2780530-20220916,2857716,12322,85,"JONES LANG LASALLE AMERICAS, INC.","JONES LANG LASALLE AMERICAS, INC.",111 W ILLINOIS ST,CHICAGO,IL,60654,42.0,,42-,,1010,Limited Business License,602,Administrative Commercial Office,2780530,RENEW,,07/15/2022,08/16/2022,N,09/16/2022,09/15/2024,08/16/2022,08/17/2022,AAI,,,41.890704754,-87.631610662,"(41.890704754245085, -87.63161066165118)"
2366,2906696-20230525,2906696,496978,1,MALLORCA INCORPORATED,TAIYAKI CHICAGO,2618 N CLARK ST 1ST,CHICAGO,IL,60614,43.0,,43-,,1006,Retail Food Establishment,767 | 781 | 1050,Retail Sales of General Merchandise and Non-Perishable Food | Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,2906696,ISSUE,05/03/2023,05/03/2023,05/03/2023,N,05/25/2023,06/15/2025,05/25/2023,05/25/2023,AAI,,23.0,41.930082886,-87.643682536,"(41.930082886392576, -87.64368253576015)"
2446,2850209-20220607,2850209,485917,1,"FRY THE COOP PORTAGE PARK, LLC",FRY THE COOP,4300 N MILWAUKEE AVE,CHICAGO,IL,60641,45.0,,45-,,1006,Retail Food Establishment,781 | 1050,Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,2850209,ISSUE,05/17/2022,05/17/2022,05/18/2022,N,06/07/2022,06/15/2024,06/06/2022,06/07/2022,AAI,,,41.958816819,-87.753081752,"(41.95881681925547, -87.75308175224446)"
2458,2831109-20220616,2843950,391097,2,HERMAN RAY ROUNDTREE,HERMAN RAY ROUNDTREE,6855 S MERRILL AVE  3,CHICAGO,IL,60649,5.0,40.0,5-40,3.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2831109,RENEW,,04/15/2022,06/08/2022,N,06/16/2022,06/15/2024,,06/08/2022,AAI,,,41.770049628,-87.572592586,"(41.77004962808352, -87.57259258616163)"
2466,2924777-20230817,2924777,500127,1,CWPD BUILD & DESIGN GROUP,CWPD GROUP,6400 N NORTHWEST HWY  SUITE 4,CHICAGO,IL,60631,41.0,,41-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2924777,ISSUE,08/10/2023,08/10/2023,08/17/2023,N,08/17/2023,09/15/2025,08/17/2023,08/17/2023,AAI,,,41.996923702,-87.806945192,"(41.99692370152326, -87.80694519193098)"
2469,2862460-20220818,2862460,487768,1,EL CAPITAN SNACKS LLC,EL CAPITAN SNACKS LLC,4838 W HUTCHINSON ST  104,CHICAGO,IL,60641,45.0,12.0,45-12,16.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2862460,ISSUE,07/20/2022,07/26/2022,07/26/2022,N,08/18/2022,09/15/2024,,08/18/2022,AAI,,,41.958073553,-87.748952588,"(41.95807355326044, -87.74895258796965)"
2475,2845965-20220818,2845965,485547,1,MARINABELLE LLC,THE LOVE JUICE CO.,9758 S CALUMET AVE,CHICAGO,IL,60628,9.0,51.0,9-51,5.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2845965,ISSUE,05/05/2022,05/05/2022,05/05/2022,N,08/18/2022,09/15/2024,,08/18/2022,AAI,,,41.7164936,-87.615363545,"(41.716493600259426, -87.61536354484892)"
2477,2867348-20220818,2867348,353747,18,"TCC WIRELESS, INC.",T-MOBILE,1429 W 18TH ST,CHICAGO,IL,60608,25.0,,25-,,1010,Limited Business License,922,Retail Sales of Cell Phones and Accessories,2867348,ISSUE,08/16/2022,08/16/2022,08/17/2022,N,08/18/2022,06/15/2024,08/17/2022,08/18/2022,AAI,,,41.857747558,-87.662468494,"(41.8577475581626, -87.66246849441633)"
2479,2845282-20220818,2845282,485071,1,BRIDGEPORT ITALIAN LEMONADE INC,BRIDGEPORT ITALIAN LEMONADE,4545 W DIVISION ST 1 LINE B,CHICAGO,IL,60651,37.0,,37-,,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2845282,ISSUE,04/22/2022,04/22/2022,05/19/2022,N,08/18/2022,09/15/2024,08/18/2022,08/18/2022,AAI,,,41.902331663,-87.740458945,"(41.902331662977616, -87.74045894485229)"
2481,2856472-20230616,2902528,34046,5,"SAN JOSE IMPORTS, LTD.",SAN JOSE IMPORTS,4500 S KOLIN AVE,CHICAGO,IL,60632,14.0,,14-,,1007,Wholesale Food Establishment,642,Direct Food Sales to Businesses,2856472,RENEW,,04/15/2023,08/15/2023,N,06/16/2023,06/15/2025,08/15/2023,08/17/2023,AAI,,,41.811324222,-87.732647543,"(41.811324221592734, -87.73264754256408)"
2482,2867429-20220818,2867429,488816,1,"BLACKLION INTERNATIONAL, INC.",BLACKLION,2412 S MICHIGAN AVE 1 & 2,CHICAGO,IL,60616,3.0,,3-,,1010,Limited Business License,900 | 904 | 911,Sale of Furniture | Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes,2867429,ISSUE,08/17/2022,08/17/2022,08/17/2022,N,08/18/2022,09/15/2024,08/17/2022,08/18/2022,AAI,,,41.848881976,-87.623851405,"(41.84888197590013, -87.62385140455274)"
2487,2802764-20230816,2917069,477096,1,DUB J'S INC.,DUB J'S,459 N HAMLIN AVE,CHICAGO,IL,60624,27.0,,27-,,1781,Tobacco,936 | 937,Retail Sales of Tobacco Accessories | Retail Sales of Tobacco and Flavored Tobacco Products,2802764,RENEW,,06/15/2023,08/15/2023,N,08/16/2023,08/15/2024,08/15/2023,08/17/2023,AAI,,,41.889614244,-87.720878916,"(41.88961424444416, -87.720878915531)"
2499,2934957-20231023,2934957,502043,1,THE CHICAGO MONOPOLY GROUP LLC,THE CHICAGO MONOPOLY GROUP LLC,6127 S UNIVERSITY AVE  1216,CHICAGO,IL,60637,20.0,,20-,,4404,Regulated Business License,754,Residential Construction / Minor Home Repair Services,2934957,ISSUE,10/12/2023,10/12/2023,10/20/2023,N,10/23/2023,11/15/2025,10/20/2023,10/23/2023,AAI,,,41.783322958,-87.597744841,"(41.78332295812876, -87.59774484142953)"
2502,2601200-20220616,2844583,427993,1,"ALTO TECH AV, LLC","ALTO TECH AV, LLC",4907 N HERMITAGE AVE 1 1,CHICAGO,IL,60640,47.0,,47-,,4404,Regulated Business License,656,Equipment Rental For Parties and Events (Home Based Business),2601200,RENEW,,04/15/2022,06/08/2022,N,06/16/2022,06/15/2024,06/08/2022,06/09/2022,AAI,,,41.972027304,-87.672539811,"(41.97202730408876, -87.67253981139474)"
2506,2588867-20220516,2839304,425967,1,MCGUIREWOODS CONSULTING LLC,MCGUIREWOODS CONSULTING LLC,77 W WACKER DR 44,CHICAGO,IL,60601,42.0,,42-,,4404,Regulated Business License,620 | 654 | 737,"Business Consulting | Employee of Expediter Service | Preparation of License, Certificate or Permit Applications for Compensation (Expediter Company)",2588867,RENEW,,03/15/2022,05/10/2022,N,05/16/2022,05/15/2024,05/10/2022,08/17/2023,AAI,,,41.886707738,-87.630794578,"(41.88670773797291, -87.6307945777937)"
2509,2924567-20230817,2924567,86522,72,"ARAMARK SERVICES, INC.",ARAMARK HEALTHCARE AT SWEDISH HOSPITAL,5140 N CALIFORNIA AVE 1 M165,CHICAGO,IL,60625,40.0,,40-,,1006,Retail Food Establishment,735 | 767,Preparation of Food and Dining on Premise With Seating | Retail Sales of General Merchandise and Non-Perishable Food,2924567,ISSUE,08/08/2023,08/08/2023,,N,08/17/2023,03/15/2025,08/15/2023,08/17/2023,AAI,,,41.975219998,-87.699046755,"(41.97521999818272, -87.69904675522007)"
2518,2601691-20220616,2844608,428152,1,GREGG ROBERT STEIGMEYER,GREGG ROBERT STEIGMEYER,1321 W PRATT BLVD,CHICAGO,IL,60626,49.0,25.0,49-25,24.0,4406,Peddler License,819,"Street Performer, Moving Along the Public Way",2601691,RENEW,,04/15/2022,06/09/2022,N,06/16/2022,06/15/2024,,06/09/2022,AAI,,54.0,42.005375726,-87.664445043,"(42.005375725653735, -87.66444504250467)"
2524,2846410-20220609,2846410,485826,1,DG SCREENPRINTING INC.,DG SCREENPRINTING INC.,1500 S WESTERN AVE 5 5CN1,CHICAGO,IL,60608,28.0,,28-,,1009,Manufacturing Establishments,834,"Manufacturing of Textiles, Apparel, Accessories, Luggage, Wood Products, Leather, Paper Products, Rubber, Petroleum, or Coal",2846410,ISSUE,05/13/2022,05/13/2022,05/13/2022,N,06/09/2022,06/15/2024,06/08/2022,06/09/2022,AAI,,,41.861126072,-87.686029865,"(41.861126071501694, -87.68602986539041)"
2525,2851251-20220609,2851251,486561,1,AALIYAH KRISHAWN MOSS,AALIYAH KRISHAWN MOSS,9258 S JUSTINE ST,CHICAGO,IL,60620,21.0,18.0,21-18,22.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2851251,ISSUE,06/09/2022,06/09/2022,06/09/2022,N,06/09/2022,06/15/2024,,06/09/2022,AAI,,69.0,41.724963364,-87.661695578,"(41.72496336371823, -87.66169557799284)"
2536,2850455-20220609,2850455,486118,1,BAT SARAH PRESS LTD.,FRESSER,4455 N CHRISTIANA AVE  2F,CHICAGO,IL,60625,33.0,15.0,33-15,17.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2850455,ISSUE,05/24/2022,05/26/2022,05/26/2022,N,06/09/2022,06/15/2024,,06/09/2022,AAI,,60.0,41.96276773,-87.711820806,"(41.96276773036761, -87.71182080647007)"
2546,2808721-20220609,2808721,478865,1,CONSOR ACQUISITIONS LLC,STUART HALE COMPANY,4350 W OHIO ST,CHICAGO,IL,60624,28.0,,28-,,1007,Wholesale Food Establishment,864,Wholesale Food Sales,2808721,ISSUE,09/07/2021,09/07/2021,09/21/2021,N,06/09/2022,06/15/2024,06/08/2022,06/09/2022,AAI,,,41.891536832,-87.735294041,"(41.89153683220557, -87.73529404088588)"
2549,2867510-20220818,2867510,374646,3,ORMAN VERNON CHALLENGER,ORMAN VERNON CHALLENGER,5737 N KENMORE AVE 3RD 309,CHICAGO,IL,60660,48.0,41.0,48-41,20.0,4406,Peddler License,915,"Street Performer, Moving Along the Public Way (Special)",2867510,ISSUE,08/18/2022,08/18/2022,08/18/2022,N,08/18/2022,08/15/2024,,08/18/2022,AAI,,,41.986619763,-87.65655926,"(41.986619762833314, -87.65655925954192)"
2555,2744236-20220816,2855758,467613,2,"CHIFRESH KITCHEN, LWCA",CHIFRESH KITCHEN,1408 E ROCHDALE PL,CHICAGO,IL,60615,5.0,,5-,,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2744236,RENEW,,06/15/2022,08/15/2022,N,08/16/2022,08/15/2024,,08/18/2022,AAI,,,41.79595468,-87.591229271,"(41.79595468023918, -87.5912292713927)"
2563,2863598-20220818,2863598,488709,1,GEORGE XU,GEORGE XU,4100 S ASHLAND AVE OUTDOOR 1080,CHICAGO,IL,60609,12.0,,12-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2863598,ISSUE,08/15/2022,08/15/2022,08/17/2022,N,08/18/2022,09/15/2024,08/17/2022,08/18/2022,AAI,,10.0,41.819441426,-87.665375545,"(41.81944142629576, -87.6653755449091)"
2569,2900378-20230320,2900378,495026,1,ONSHORE SECURITY LLC,ONSHORE SECURITY LLC,216 W JACKSON BLVD  201,CHICAGO,IL,60642,42.0,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2900378,ISSUE,03/15/2023,03/15/2023,03/17/2023,N,03/20/2023,04/15/2025,03/17/2023,03/20/2023,AAI,,,41.878223242,-87.63424738,"(41.878223241518086, -87.63424737951088)"
2571,2522179-20230516,2899309,414911,1,"PHLOUR INC.,",PHLOUR BAKERY AND CAFE,1138 W BRYN MAWR AVE 1ST,CHICAGO,IL,60660,48.0,,48-,,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2522179,RENEW,,03/15/2023,03/17/2023,N,05/16/2023,05/15/2025,03/17/2023,03/20/2023,AAI,,26.0,41.983739152,-87.659646729,"(41.98373915183195, -87.65964672940271)"
2578,2900433-20230320,2900433,495080,1,CYNTHIA EVERETT,CYNTHIA EVERETT,4100 S ASHLAND AVE OUTDOOR  375,CHICAGO,IL,60609,12.0,,12-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2900433,ISSUE,03/16/2023,03/16/2023,03/19/2023,N,03/20/2023,04/15/2025,03/19/2023,03/20/2023,AAI,,10.0,41.819441426,-87.665375545,"(41.81944142629576, -87.6653755449091)"
2579,2738663-20220816,2855810,468642,1,L&R DESIGNER LLC,L&R DESIGNER LLC,12762 S WALLACE ST,CHICAGO,IL,60628,9.0,,9-,,4404,Regulated Business License,758,Residential Remodeling and Repair (Home Based Business),2738663,RENEW,,06/15/2022,08/18/2022,N,08/16/2022,08/15/2024,08/18/2022,08/18/2022,AAI,,,41.661621967,-87.636716925,"(41.661621967146324, -87.6367169251667)"
2582,2732942-20220816,2855773,468299,1,"EVERBROOK ACADEMY, LLC","EVERBROOK ACADEMY, LLC",538 W DIVERSEY PKWY,CHICAGO,IL,60614,44.0,,44-,,1023,Children's Services Facility License,820,"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm",2732942,RENEW,,06/15/2022,06/15/2022,N,08/16/2022,08/15/2024,08/17/2022,08/18/2022,AAI,,8.0,41.93295082,-87.642864031,"(41.9329508200548, -87.64286403057274)"
2583,2867509-20220818,2867509,488881,1,TINA V. SCHMITT,TINA V.  SCHMITT/CROWN JEWEL GIRLS,2055 E 72ND PL,CHICAGO,IL,60649,5.0,6.0,5-6,3.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2867509,ISSUE,08/18/2022,08/18/2022,08/18/2022,N,08/18/2022,09/15/2024,,08/18/2022,AAI,,,41.763336971,-87.574135889,"(41.7633369706564, -87.57413588936053)"
2584,2060345-20221016,2865393,357013,1,KLOECKNER METALS CORPORATION,KLOECKNER METALS CORPORATION,12900 S DOTY AVE 0,CHICAGO,IL,60628,9.0,,9-,,1009,Manufacturing Establishments,817,Storage or Use of Hazardous Materials (MFG),2060345,RENEW,,08/15/2022,08/18/2022,N,10/16/2022,10/15/2024,08/18/2022,08/18/2022,AAI,,,41.660926233,-87.592238882,"(41.66092623284513, -87.59223888177645)"
2588,2808792-20231016,2928418,478914,1,CHICAGO CITY STORAGE LLC,CHICAGO CITY STORAGE LLC,400 E RANDOLPH ST 2 2A,CHICAGO,IL,60601,42.0,,42-,,1010,Limited Business License,903,Self Storage Facility,2808792,RENEW,,08/15/2023,08/15/2023,N,10/16/2023,10/15/2025,08/15/2023,08/17/2023,AAI,,,41.884646365,-87.617248496,"(41.8846463654345, -87.61724849623945)"
2590,2398447-20230516,2899008,398316,1,"LOPEZ TAXES & ACCOUNTING SERVICES, INC.","LOPEZ TAXES & ACCOUNTING SERVICES, INC.",4770 N LINCOLN AVE 2ND 204,CHICAGO,IL,60625,47.0,,47-,,1010,Limited Business License,197 | 659,Tax Preparation Services | Financial and Accounting Services,2398447,RENEW,,03/15/2023,03/18/2023,N,05/16/2023,05/15/2025,03/18/2023,03/20/2023,AAI,,21.0,41.968359237,-87.688569121,"(41.96835923683897, -87.68856912146242)"
2602,2753706-20221016,2867029,470394,1,GRE MEDICAL DISTRICT CITY APARTMENTS LLC,SCIO AT THE MEDICAL DISTRICT,901 S ASHLAND AVE,CHICAGO,IL,60607,28.0,,28-,,1010,Limited Business License,602,Administrative Commercial Office,2753706,RENEW,,08/15/2022,08/17/2022,N,10/16/2022,10/15/2024,08/17/2022,08/18/2022,AAI,,,41.870386161,-87.666340664,"(41.870386161123186, -87.66634066390716)"
2613,2738498-20230116,2881266,468556,1,"BANJO PAWPAW VENTURE, LLC",MUTT JACKSON,3237 N HARLEM AVE,CHICAGO,IL,60634,29.0,,29-,,1032,Animal Care License,611,Provide Animal Grooming Services,2738498,RENEW,,11/15/2022,03/17/2023,N,01/16/2023,01/15/2025,03/17/2023,03/20/2023,AAI,,,41.939104472,-87.806639115,"(41.93910447186976, -87.80663911532803)"
2641,2334290-20220616,2842209,55533,3,PPG INDUSTRIES INC.,"PPG INDUSTRIES, INC",1701 E 122ND ST 1ST,CHICAGO,IL,60633,10.0,,10-,,1009,Manufacturing Establishments,647,"Drug, Chemical, or Paint Factory",2334290,RENEW,,04/15/2022,06/09/2022,N,06/16/2022,06/15/2024,06/09/2022,06/10/2022,AAI,,,41.673517106,-87.578451534,"(41.673517105799256, -87.57845153438663)"
2645,2314434-20220316,2829543,388680,1,BANTU ENTERTAINMENT,BANTU ENTERTAINMENT,6146 S VERNON AVE 3,CHICAGO,IL,60637,20.0,,20-,,4404,Regulated Business License,702,Marketing / Advertising / Public Relations (Home Based Business),2314434,RENEW,,01/15/2022,06/09/2022,N,03/16/2022,03/15/2024,06/09/2022,06/10/2022,AAI,,,41.78251597,-87.614614209,"(41.782515969526145, -87.61461420913786)"
2658,2781129-20230416,2895115,474238,1,BLANCAS BEAUTY SALON INC.,BLANCAS BEAUTY SALON,911 W IRVING PARK RD 1ST,CHICAGO,IL,60613,46.0,,46-,,1010,Limited Business License,894,Hair Services,2781129,RENEW,,02/15/2023,03/17/2023,N,04/16/2023,04/15/2025,03/17/2023,03/20/2023,AAI,,17.0,41.954405389,-87.652617898,"(41.95440538948975, -87.65261789753974)"
2669,2845796-20220610,2845796,485429,1,"GENTOO, INC.","GENTOO, INC.",814 W BUCKINGHAM PL 4,CHICAGO,IL,60657,44.0,,44-,,4404,Regulated Business License,738,"Preparation of License, Certificate or Permit Applications For Compensation / Expediter (Home Based Business)",2845796,ISSUE,05/03/2022,05/03/2022,05/04/2022,N,06/10/2022,06/15/2024,06/09/2022,06/10/2022,AAI,,17.0,41.942810482,-87.650012319,"(41.942810481918876, -87.65001231929092)"
2670,2608480-20220716,2849558,428707,1,ROWAN CATERING COMPANY LLC,ROWAN CATERING COMPANY/ MAKEMA ADKINS,2230 W MADISON ST  201,CHICAGO,IL,60612,27.0,32.0,27-32,12.0,8344,Shared Kitchen User (Long Term),804,Shared Kitchen User - Long Term,2608480,RENEW,,05/15/2022,06/02/2022,N,07/16/2022,07/15/2024,,06/02/2022,AAI,,,41.881329786,-87.682784978,"(41.881329785638, -87.68278497816881)"
2672,2851324-20220610,2851324,486593,1,ZERELL DAVIS,ZERELL DAVIS,7331 N HONORE ST  3B,CHICAGO,IL,60626,49.0,33.0,49-33,24.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2851324,ISSUE,06/10/2022,06/10/2022,06/10/2022,N,06/10/2022,06/15/2024,,06/10/2022,AAI,,,42.014641495,-87.676578551,"(42.01464149526453, -87.67657855073413)"
2676,2851346-20220610,2851346,486602,1,JEAN-LOUIS DAVID BAILLELY,JEAN-LOUIS DAVID BAILLELY,222 E PEARSON ST  301,CHICAGO,IL,60611,2.0,11.0,2-11,18.0,4406,Peddler License,819,"Street Performer, Moving Along the Public Way",2851346,ISSUE,06/10/2022,06/10/2022,06/10/2022,N,06/10/2022,06/15/2024,,06/10/2022,AAI,,,41.897739439,-87.620895438,"(41.897739439040045, -87.62089543784585)"
2695,2808885-20220610,2808885,478935,1,JAMIA FIONA JONES,JAMIA FIONA JONES,121 N WOOD ST,CHICAGO,IL,60612,27.0,27.0,27-27,12.0,4406,Peddler License,769,"Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way",2808885,ISSUE,09/09/2021,09/10/2021,06/10/2022,N,06/10/2022,06/15/2024,,06/10/2022,AAI,,,41.883846094,-87.671667931,"(41.88384609441595, -87.67166793082333)"
2696,2851340-20220610,2851340,486598,1,DANIELLE L. CHRISTY,DANIELLE L. CHRISTY,2428 W WINNEMAC AVE,CHICAGO,IL,60625,40.0,12.0,40-12,20.0,4406,Peddler License,819,"Street Performer, Moving Along the Public Way",2851340,ISSUE,06/10/2022,06/10/2022,06/10/2022,N,06/10/2022,06/15/2024,,06/10/2022,AAI,,21.0,41.973117851,-87.690220787,"(41.97311785052402, -87.69022078652107)"
